"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"29.06.2022","7.611","53","3"
"28.06.2022","7.963","82","6"
"27.06.2022","6.964","81","1"
"26.06.2022","962","25","2"
"25.06.2022","1.220","20","0"
"24.06.2022","4.405","45","4"
"23.06.2022","5.362","60","3"
"22.06.2022","5.575","65","2"
"21.06.2022","5.970","56","3"
"20.06.2022","5.692","62","2"
"19.06.2022","937","14","0"
"18.06.2022","1.040","17","1"
"17.06.2022","3.724","38","6"
"16.06.2022","3.713","34","1"
"15.06.2022","4.457","31","2"
"14.06.2022","4.900","64","3"
"13.06.2022","4.650","37","1"
"12.06.2022","733","7","0"
"11.06.2022","839","17","1"
"10.06.2022","3.183","26","0"
"09.06.2022","3.392","30","1"
"08.06.2022","5.092","34","3"
"07.06.2022","4.071","40","1"
"06.06.2022","671","10","1"
"05.06.2022","485","9","2"
"04.06.2022","732","12","0"
"03.06.2022","1.767","18","2"
"02.06.2022","2.499","28","0"
"01.06.2022","2.605","21","2"
"31.05.2022","2.903","30","3"
"30.05.2022","3.184","25","3"
"29.05.2022","463","5","0"
"28.05.2022","379","9","0"
"27.05.2022","2.078","13","1"
"26.05.2022","384","9","0"
"25.05.2022","2.058","25","4"
"24.05.2022","2.372","31","2"
"23.05.2022","2.982","40","4"
"22.05.2022","498","10","1"
"21.05.2022","355","7","2"
"20.05.2022","2.314","20","2"
"19.05.2022","2.352","25","2"
"18.05.2022","2.867","22","2"
"17.05.2022","3.121","19","1"
"16.05.2022","4.509","33","3"
"15.05.2022","373","5","0"
"14.05.2022","535","6","1"
"13.05.2022","2.985","25","1"
"12.05.2022","2.885","31","2"
"11.05.2022","3.536","30","3"
"10.05.2022","5.000","45","10"
"09.05.2022","5.151","61","5"
"08.05.2022","572","4","0"
"07.05.2022","1.016","5","1"
"06.05.2022","3.626","29","2"
"05.05.2022","3.785","24","1"
"04.05.2022","4.597","24","4"
"03.05.2022","5.632","37","2"
"02.05.2022","5.805","49","3"
"01.05.2022","622","4","0"
"30.04.2022","1.457","5","2"
"29.04.2022","3.749","26","2"
"28.04.2022","4.874","33","1"
"27.04.2022","5.350","37","1"
"26.04.2022","6.864","56","5"
"25.04.2022","7.616","64","9"
"24.04.2022","832","6","0"
"23.04.2022","1.908","16","3"
"22.04.2022","5.726","49","5"
